Qty,Reference(s),Value
54,"C1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,53,56,61,64,65,66",22nF
6,"C49,52,55,57,60,63",4.7uF
2,"C50,58",100nF
4,"C51,54,59,62",20pF
1,D1,862-4566
1,D2,862-4572
12,"J1,2,3,4,5,6,7,8,9,10,11,12",SJ-2523-SMT-TR
1,Q1,MMBT3904
2,"R1,59",68R
24,"R9,10,11,12,13,14,15,16,17,18,19,20,33,34,35,36,37,38,39,40,41,42,43,44",100R
27,"R21,22,23,24,25,26,27,28,29,30,31,32,45,46,47,48,49,50,51,52,53,54,55,56,58,61,62",1K
1,R57,10k
1,R63,?
2,"U1,2",ADE7816ACPZ
2,"Y1,2",16.384MHz
