Reference(s),Value
C1,22nF
C2,22nF
C3,22nF
C4,22nF
C5,22nF
C6,22nF
C7,22nF
C8,22nF
C9,22nF
C10,22nF
C11,22nF
C12,22nF
C13,22nF
C14,22nF
C15,22nF
C16,22nF
C17,22nF
C18,22nF
C19,22nF
C20,22nF
C21,22nF
C22,22nF
C23,22nF
C24,22nF
C25,22nF
C26,22nF
C27,22nF
C28,22nF
C29,22nF
C30,22nF
C31,22nF
C32,22nF
C33,22nF
C34,22nF
C35,22nF
C36,22nF
C37,22nF
C38,22nF
C39,22nF
C40,22nF
C41,22nF
C42,22nF
C43,22nF
C44,22nF
C45,22nF
C46,22nF
C47,22nF
C48,22nF
C49,4.7uF
C50,100nF
C51,20pF
C52,4.7uF
C53,22nF
C54,20pF
C55,4.7uF
C56,22nF
C57,4.7uF
C58,100nF
C59,20pF
C60,4.7uF
C61,22nF
C62,20pF
C63,4.7uF
C64,22nF
C65,22nF
C66,22nF
D1,862-4566
D2,862-4572
J1,SJ-2523-SMT-TR
J2,SJ-2523-SMT-TR
J3,SJ-2523-SMT-TR
J4,SJ-2523-SMT-TR
J5,SJ-2523-SMT-TR
J6,SJ-2523-SMT-TR
J7,SJ-2523-SMT-TR
J8,SJ-2523-SMT-TR
J9,SJ-2523-SMT-TR
J10,SJ-2523-SMT-TR
J11,SJ-2523-SMT-TR
J12,SJ-2523-SMT-TR
J13,Conn_01x02
J14,Raspberry_Pi_2_3
Q1,MMBT3904
R1,68R
R9,100R
R10,100R
R11,100R
R12,100R
R13,100R
R14,100R
R15,100R
R16,100R
R17,100R
R18,100R
R19,100R
R20,100R
R21,1K
R22,1K
R23,1K
R24,1K
R25,1K
R26,1K
R27,1K
R28,1K
R29,1K
R30,1K
R31,1K
R32,1K
R33,100R
R34,100R
R35,100R
R36,100R
R37,100R
R38,100R
R39,100R
R40,100R
R41,100R
R42,100R
R43,100R
R44,100R
R45,1K
R46,1K
R47,1K
R48,1K
R49,1K
R50,1K
R51,1K
R52,1K
R53,1K
R54,1K
R55,1K
R56,1K
R57,10k
R58,1K
R59,68R
R61,1K
R62,1K
R63,?
U1,ADE7816ACPZ
U2,ADE7816ACPZ
Y1,16.384MHz
Y2,16.384MHz
